city,zip,lat,lon
Geschendorf,23815,53.92216,10.4402
"Altenau, Harz Torfhaus, Harz",38667,51.8019139405272,10.536938188916
"Mühldorf am Inn",84453,48.25,12.5333
"Glanbrücken",66887,49.6167,7.53333
Mehlingen,67678,49.5,7.85
"Buch, Hunsrück",56290,50.0833,7.38333
"Harthausen, Pfalz",67376,49.2942,8.345
"Pölchow Huckstorf",18059,53.9844,12.11161
Niederfinow,16248,52.84009,13.93726
Burgoberbach,91595,49.2333,10.5833
Uckerfelde,17291,53.2658983330896,13.9486755554199
"Petersberg bei Eisenberg",07616,50.9833,11.8333
Silberstedt,24887,54.5180797040668,9.37611654544417
"Römerstein",72587,48.4962,9.51482
"Weitendorf bei Sternberg",19412,53.71757,11.7510600000001
Heemsen,31622,52.70526,9.25217999999995
"Königheim",97953,49.6203,9.59583
"Glewitz bei Grimmen Jahnkow",18513,54.01465,12.96282
"Grebbin Kossebade",19374,53.53182,11.8413
"Sassnitz Klementelvitz",18546,54.523786,13.59488
"Märkisch Linden Kränzlin",16818,52.92812,12.74622
"Hohen Wangelin",17194,53.61457,12.42616
"Schäftlarn",82069,47.9833,11.4667
"Oberhaid, Westerwald",56237,50.5167,7.71667
"Lindetal Ballin",17349,53.4584697793125,13.4285967407227
Langenwolschendorf,07937,50.6333,11.9667
Setzingen,89129,48.5333,10.1333
"Ohmbach, Pfalz",66903,49.45,7.35
"Traunreut Zweckham",83374,47.9667,12.6
Dexheim,55278,49.8472,8.31667
Alfhausen,49594,52.5028475552629,7.95377655029301
"Schönheide, Erzgebirge",08304,50.5,12.5333
"Leubsdorf, Rhein",53547,50.55,7.3
"Seehof bei Schwerin Hundorf bei Schwerin, Mecklenburg",19069,53.70483,11.43506
Inchenhofen,86570,48.5167,11.1167
"Hohenwarth bei Kötzting",93480,49.2,12.9333
Allensbach,78476,47.7167,9.06667
"Wolfegg (Allgäu)",88364,47.8167,9.8
"Havelaue Parey",14715,52.67825,12.24645
"Tannenberg, Erzgebirge",09468,50.6,12.95
"Beetzseeheide Gortz",14778,52.51273,12.64399
Kreiensen,37547,51.8539,9.96584000000007
Durlangen,73568,48.85,9.8
Warlitz,19230,53.3782,11.14941
Schrampe,39619,52.89289,11.44271
Trebgast,95367,50.0667,11.55
Traben-Trarbach,56841,49.95,7.11667
Pittenhart,83132,47.9833,12.3833
Frielendorf,34621,50.9833,9.33333
"Winsen (Aller) Wittbeck",29229,52.6929,10.0216
Waldlaubersheim,55444,49.9333,7.83333
"Erlenbach bei Marktheidenfeld",97837,49.8194,9.62889
Trittau,22946,53.61096,10.40473
"Olfen, Westfalen",59399,51.7086,7.37828000000002
Nanzdietschweiler,66909,49.45,7.45
Hamersen,27419,53.25596,9.48104999999998
"Wentorf (Amt Sandesneben)",23898,53.68311,10.46705
Wangelau,21483,53.45461,10.55031
"Mönkloh",24576,53.8893855875667,9.78687602336885
"Tastrup bei Flensburg",24943,54.7650937115,9.4772163039
"Heiligenhaus bei Velbert",42579,51.32748147456,6.96555420104983
"Kummerow bei Malchin",17139,53.76891,12.83336
"Dummerstorf Bandelstorf",18196,54.03723,12.25153
"Niedergörsdorf Rohrbeck bei Jüterbog",14913,51.9630722081012,13.0431054550172
Gabsheim,55288,49.8278,8.17611
"Bissingen an der Teck",73266,48.6,9.5
Rechberghausen,73098,48.7333,9.63333
"Steinrode bei Leinefelde",37345,51.5016701,10.4922799999999
"Altenberge, Westfalen",48341,52.0468975433455,7.4699533227539
Langula,99986,51.1508614349929,10.4172149841309
"Kührstedt",27624,53.57786,8.80115999999998
"Coswig (Anhalt) Cobbelsdorf",06869,51.9591,12.53332
Wimmelburg,06313,51.52077,11.5074500000001
"Groß Buchwald",24582,54.162083522502,10.08378654862
"Niederer Fläming Borgisdorf",14913,51.9261,13.14172
Uhingen,73066,48.7048,9.5857
"Homberg (Ohm)",35315,50.7333,9.0
"Heppenheim (Bergstraße)",64646,49.6408,8.63722
"Brunow bei Parchim",19300,53.26244,11.81313
"Brunow bei Parchim",19372,53.26244,11.81313
"Barum bei Bad Bevensen",29576,53.05078,10.51518
"Prem, Oberbayern",86984,47.6833,10.8
Hamwarde,21502,53.45298,10.42135
"Schwerin, Mecklenburg Zippendorf",19061,53.60716,11.46771
"Schwerin, Mecklenburg Zippendorf",19063,53.60716,11.46771
"Körbelitz",39175,52.18064,11.78211
Wees,24999,54.807239,9.522599
Boldekow,17392,53.72593,13.59457
"Sankt Georgen im Schwarzwald Schoren (Schwarzwald)",78112,48.1238199,8.3923531
"Schwalmtal, Hessen",36318,50.6833,9.3
Osburg,54317,49.7167,6.78333
"Wesenberg, Mecklenburg Strasen",17255,53.20742,12.99518
Oberstadtfeld,54570,50.1833,6.76667
Geichlingen,54675,49.95,6.26667
"Zehdenick Zabelsdorf",16792,53.04847,13.2517800000001
Oberwiera,08396,50.8833,12.5
Muchow,19300,53.31371,11.68864
"Rambin Drammendorf",18573,54.3557,13.21985
"Auerbach, Niederbayern",94530,48.8,13.1
"Bölsberg",57648,50.6667,7.91667
Wachtendonk,47669,51.40786,6.33968000000004
Neufelderkoog,25724,53.906748117309,8.96890994005474
"Frankfurt am Main Griesheim",60326,50.1,8.6
"Frankfurt am Main Griesheim",65933,50.1,8.6
Windeby,24340,54.462724215,9.81717886329
Oederan,09569,50.8667,13.1667
Mechau,29416,52.87071,11.34863
Badem,54657,50.0,6.61667
"Lancken-Granitz Gobbin",18586,54.34545,13.6218200000001
Kaltennordheim,36452,50.6333,10.1667
Ruhpolding,83324,47.7667,12.65
"Bernitt Neu Bernitt",18249,53.89964,11.85223
"Bad Düben",04849,51.594443525229,12.5893004074096
Oberammergau,82487,47.6,11.0667
Odisheim,21775,53.69439,8.94117
"Sankt Annen, Dithmarschen",25776,54.3500100864308,9.08330614671705
"Sehestedt, Eider",24814,54.36678,9.81944
"Grünheide (Mark)",15537,52.4111,13.8889
"Grünheide (Mark)",15518,52.4111,13.8889
"Grünheide (Mark)",15528,52.4111,13.8889
Nittendorf,93152,49.0253,11.9611
"Rüssingen",67308,49.6158,8.08833
Perlin,19209,53.58724,11.17512
Kassieck,39638,52.58666,11.48508
Ruschberg,55776,49.6167,7.28333
Querenhorst,38368,52.33671,10.9622400000001
Prisannewitz,18196,53.98537,12.22068
Miesterhorst,39649,52.46076,11.14103
"Süßen",73079,48.6833,9.76667
Tensfeld,23824,54.0412210764855,10.3180888886929
"Gornau / Erzgebirge",09405,50.7667,13.0167
Bubenreuth,91088,49.6333,11.0167
Sieversdorf-Hohenofen,16845,52.82585,12.40418
"Würchwitz",06712,51.0167,12.2333
Westerngrund,63825,50.1,9.25
"Güstrow Güstrow",18273,53.80412,12.18655
"Berlin Treptow-Köpenick",12435,52.445817,13.574588
"Berlin Treptow-Köpenick",12437,52.445817,13.574588
"Berlin Treptow-Köpenick",12487,52.445817,13.574588
"Berlin Treptow-Köpenick",12439,52.445817,13.574588
"Berlin Treptow-Köpenick",12524,52.445817,13.574588
"Berlin Treptow-Köpenick",12526,52.445817,13.574588
"Berlin Treptow-Köpenick",12527,52.445817,13.574588
"Berlin Treptow-Köpenick",12489,52.445817,13.574588
"Berlin Treptow-Köpenick",12459,52.445817,13.574588
"Berlin Treptow-Köpenick",12555,52.445817,13.574588
"Berlin Treptow-Köpenick",12557,52.445817,13.574588
"Berlin Treptow-Köpenick",12559,52.445817,13.574588
"Berlin Treptow-Köpenick",12587,52.445817,13.574588
"Berlin Treptow-Köpenick",12589,52.445817,13.574588
"Rüdesheim am Rhein",65385,49.9833,7.91667
Gnadau,39249,51.97592,11.78002
"Sietow Sietow",17209,53.4449393888079,12.5571239471435
"Temnitzquell Netzeband bei Neuruppin",16818,52.99633,12.63264
Kollweiler,66879,49.5167,7.58333
"Wonneberg Enzersdorf bei Waging am See",83329,47.9087,12.7362
"Mühlental",08626,50.4519,12.4815
"Mühlental",08606,50.4519,12.4815
"Straßberg (Hohenzollern)",72479,48.1761,9.0904
"Markgröningen",71706,48.9,9.06667
Gensingen,55457,49.9,7.93333
"Buchholz (Westerwald)",53567,50.6833,7.38333
Pritzwalk,16928,53.15046,12.17707
Kollnburg,94262,49.05,12.8667
"Wahlsburg, Weser",37194,51.62329,9.55781999999999
Elmshorn,25335,53.7552973008561,9.65623957259651
Elmshorn,25336,53.7552973008561,9.65623957259651
Elmshorn,25337,53.7552973008561,9.65623957259651
Euerbach,97502,50.0667,10.1333
Onsdorf,54456,49.65,6.48333
Triftern,84371,48.4,13.0167
"Wiesbaden Erbenheim",65205,50.0833,8.25
Raschau-Markersbach,08352,50.532222,12.871389
"Eslohe (Sauerland)",59889,51.25405,8.17076999999995
Frontenhausen,84160,48.544375,12.528772
Weidenstetten,89197,48.55,10.0
Guben,03172,51.95079,14.70258
Soltau,29614,52.98414,9.84249
Leegebruch,16767,52.72349,13.1947700000001
"Kloster Lehnin Netzen",14797,52.3423,12.68296
"Trier Ehrang",54293,49.75,6.63333
Zeschdorf,15236,52.4213,14.3875
Zeschdorf,15326,52.4213,14.3875
"Groß Dratow Klein Dratow",17192,53.5056752356192,12.8741554077149
Bechenheim,55234,49.7286,8.00333
Unterjeckenbach,67746,49.6667,7.48333
"Marne, Holstein",25709,53.9511274906169,9.00880578749451
"Perleberg Quitzow",19348,53.10143,11.81946
Pinzberg,91361,49.7,11.1
Schachtebich,37318,51.40125,10.05057
Teltow,14513,52.39584,13.27631
"Witten Herbede",58452,51.4181009105116,7.28084453399651
"Witten Herbede",58456,51.4181009105116,7.28084453399651
"Löberschütz",07751,50.9667,11.7
"Wisch bei Kiel",24217,54.4089926501879,10.3452036738397
"Löwenstein (Württemberg)",74245,49.0994,9.38139
Issersheilingen,99947,51.2,10.65
Kretzschau,06712,51.05,12.0667
